File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Julian\Documents\GitHub\nordwind-tool\Coding\Hauptprogramm\ArtikelFilter.java,156,109,104,0,33,0,14,28,2,5
C:\Users\Julian\Documents\GitHub\nordwind-tool\Coding\Hauptprogramm\BestelldetailsFilter.java,96,64,61,0,23,0,9,18,2,5
C:\Users\Julian\Documents\GitHub\nordwind-tool\Coding\Hauptprogramm\BestellungenFilter.java,172,130,127,0,33,0,9,18,0,0
C:\Users\Julian\Documents\GitHub\nordwind-tool\Coding\Hauptprogramm\DBQuery.java,527,392,360,80,123,34,12,116,0,0
C:\Users\Julian\Documents\GitHub\nordwind-tool\Coding\Hauptprogramm\Filter.java,244,201,158,33,24,0,19,34,2,4
C:\Users\Julian\Documents\GitHub\nordwind-tool\Coding\Hauptprogramm\JNumberField.java,77,58,39,6,17,0,2,18,2,18
C:\Users\Julian\Documents\GitHub\nordwind-tool\Coding\Hauptprogramm\KategorieFilter.java,67,42,39,0,21,0,4,8,0,0
C:\Users\Julian\Documents\GitHub\nordwind-tool\Coding\Hauptprogramm\KundenFilter.java,135,105,102,0,26,0,4,8,0,0
C:\Users\Julian\Documents\GitHub\nordwind-tool\Coding\Hauptprogramm\LieferantenFilter.java,146,114,111,0,28,0,4,8,0,0
C:\Users\Julian\Documents\GitHub\nordwind-tool\Coding\Hauptprogramm\Liste.java,118,90,77,4,20,2,8,39,2,4
C:\Users\Julian\Documents\GitHub\nordwind-tool\Coding\Hauptprogramm\Login.java,135,114,102,5,16,1,5,21,0,0
C:\Users\Julian\Documents\GitHub\nordwind-tool\Coding\Hauptprogramm\Menu.java,297,217,197,2,44,1,36,93,2,5
C:\Users\Julian\Documents\GitHub\nordwind-tool\Coding\Hauptprogramm\NordwindTool.java,275,195,164,20,55,1,25,66,2,5
C:\Users\Julian\Documents\GitHub\nordwind-tool\Coding\Hauptprogramm\PasswordHasher.java,72,55,46,9,16,0,1,7,1,7
C:\Users\Julian\Documents\GitHub\nordwind-tool\Coding\Hauptprogramm\PersonalFilter.java,165,134,131,0,27,0,4,8,0,0
C:\Users\Julian\Documents\GitHub\nordwind-tool\Coding\Hauptprogramm\VersandfirmenFilter.java,65,42,39,0,19,0,4,8,0,0
